time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-06-16,30.2,20.2,0.0,25.8,78
2015-06-16,30.2,20.2,0.0,25.8,78
2015-06-16,35.0,18.6,0.0,15.0,73
2015-06-16,35.0,18.6,0.0,15.0,73
2015-06-16,30.2,19.8,0.0,18.8,97
2015-06-16,30.4,20.0,0.0,18.8,97
2015-06-16,30.0,19.6,0.3,17.8,97
2015-06-16,30.3,19.9,0.0,18.8,97
2015-06-16,30.4,20.0,0.0,18.8,97
2015-06-16,30.3,19.9,0.0,18.8,97
2015-06-16,30.2,19.8,0.0,18.8,97
2015-06-16,34.8,18.1,0.0,15.0,75
2015-06-16,30.4,20.0,0.0,18.8,97
2015-06-16,30.4,20.0,0.0,18.8,97
2015-06-16,30.1,19.7,0.3,17.8,97
2015-06-16,30.5,20.1,0.0,18.8,97
2015-06-16,30.4,20.0,0.0,18.8,97
2015-06-16,30.0,19.6,0.3,17.8,97
2015-06-16,35.0,18.6,0.0,15.0,73
2015-06-16,35.0,18.6,0.0,15.0,73
2015-06-16,35.0,18.6,0.0,15.0,73
2015-06-16,35.0,18.6,0.0,15.0,73
2015-06-16,34.9,18.5,0.0,15.0,73
2015-06-16,34.9,18.2,0.0,15.0,75
2015-06-16,34.7,18.0,0.0,15.0,75
2015-06-16,34.8,18.1,0.0,15.0,75
2015-06-17,33.2,20.5,0.0,13.4,82
2015-06-17,35.6,21.5,0.0,9.3,72
2015-06-17,35.5,21.4,0.0,9.3,72
2015-06-17,34.4,23.0,0.0,19.5,77
2015-06-17,34.7,23.2,3.0,17.0,69
2015-06-17,33.6,23.1,3.0,17.0,69
2015-06-17,34.7,23.2,3.0,17.0,69
2015-06-17,34.8,23.0,3.0,17.0,67
2015-06-17,25.6,20.8,6.1,16.6,92
2015-06-18,22.6,18.7,6.8,18.6,98
2015-06-18,24.5,19.5,15.5,11.4,93
2015-06-18,24.7,19.6,15.5,11.4,93
2015-06-18,25.0,19.6,5.9,16.8,85
2015-06-18,26.8,19.2,14.0,9.7,83
2015-06-18,26.7,22.0,8.0,9.4,79
2015-06-18,24.3,21.1,0.0,26.6,89
2015-06-18,24.7,21.1,0.0,26.6,89
2015-06-18,24.3,20.8,0.0,26.6,89
2015-06-18,24.4,21.2,0.0,26.6,89
2015-06-18,24.9,21.4,0.0,26.6,89
2015-06-18,24.6,21.0,0.0,26.6,89
2015-06-19,24.5,18.1,15.9,13.6,92
2015-06-19,24.6,18.2,15.9,13.6,92
2015-06-19,24.5,18.4,4.2,14.5,92
2015-06-19,23.4,18.5,20.5,27.6,92
2015-06-19,23.5,18.6,20.5,27.6,92
2015-06-20,26.0,19.2,0.0,10.0,91
2015-06-20,26.2,17.9,0.9,7.6,85
2015-06-20,29.4,19.1,1.6,5.8,82
2015-06-20,25.4,17.8,0.0,12.7,83
2015-06-20,29.5,19.2,1.6,5.8,82
2015-06-20,29.4,19.1,1.6,5.8,82
2015-06-20,25.2,17.6,0.0,12.7,83
2015-06-21,28.3,20.2,0.0,10.1,90
2015-06-21,27.7,19.4,8.1,12.0,93
2015-06-21,27.7,19.4,8.1,12.0,93
2015-06-21,27.6,19.2,8.1,12.0,93
2015-06-21,28.2,21.2,0.0,7.9,83
2015-06-21,27.8,21.1,0.0,10.1,87
2015-06-21,27.7,19.4,8.1,12.0,93
2015-06-23,25.8,14.8,0.0,10.7,93
2015-06-23,26.3,16.8,0.0,15.7,91
2015-06-23,23.8,16.8,0.0,13.2,81
2015-06-23,26.3,17.4,0.0,11.5,87
2015-06-23,23.6,18.6,0.0,20.2,78
2015-06-23,26.8,15.8,0.0,11.9,90
2015-06-23,21.7,18.6,0.0,36.7,81
2015-06-23,22.1,19.1,0.0,36.7,81
2015-06-23,23.6,10.7,0.0,7.9,76
2015-06-23,25.7,11.1,0.0,7.1,84
2015-06-24,25.2,19.4,0.0,11.3,82
2015-06-24,27.6,16.9,0.0,9.1,99
2015-06-24,28.5,16.7,0.0,9.1,97
2015-06-24,26.4,16.6,0.0,11.8,99
2015-06-24,28.2,20.2,0.0,9.4,83
2015-06-24,30.1,19.5,0.0,12.0,90
2015-06-24,29.8,18.3,0.0,8.0,86
2015-06-24,25.6,17.8,0.0,10.2,85
2015-06-24,29.5,18.3,0.0,6.4,91
2015-06-24,30.2,19.9,0.0,8.7,82
2015-06-24,29.7,18.2,0.0,8.0,86
2015-06-24,29.8,18.3,0.0,8.0,86
2015-06-25,27.1,20.0,0.0,24.0,94
2015-06-25,26.9,19.2,2.2,13.7,91
2015-06-25,27.0,19.3,2.2,13.7,91
2015-06-25,27.1,19.4,2.2,13.7,91
2015-06-25,27.0,19.3,2.2,13.7,91
2015-06-25,26.2,19.4,0.1,13.2,91
